id,uid,area,title,model,kind_label,importance,strength,complexity,benefit_kind,footprint_cells,footprint_effort,action_usage,object_label,preview_label,scope,benefit,next_step,preview,objects,rules,related
F11,uce4a0322ed,Maintainability and consistency,Same calculation made more than once under different names,Caldergate FP&A,review candidate,low,confirmed,medium,footprint,19152,,none detected,1 group; 1 duplicate line item plus one kept line item per group,All 1 groups (kept line item named),1 line item in 1 group; 0 formulas would be re-pointed,"Footprint of the copies: 19.2K cells. Released only for copies that no page, view or process needs.","Validate equivalence and the reasons for separate objects in the largest group (access boundaries, a reporting contract on the copy's name, a page that shows it), then decide whether consolidation is appropriate.",CAL07 P&L by Cost Centre.Depreciation,CAL07 P&L by Cost Centre.Depreciation,REDUNDANT-EXACT,
F12,u6d36fe3bfd,Maintainability and consistency,Same calculation made more than once under different names,Workforce Planning,review candidate,low,confirmed,medium,footprint,4464,,none detected,1 group; 1 duplicate line item plus one kept line item per group,All 1 groups (kept line item named),1 line item in 1 group; 1 formulas would be re-pointed,"Footprint of the copies: 4.5K cells. Released only for copies that no page, view or process needs.","Validate equivalence and the reasons for separate objects in the largest group (access boundaries, a reporting contract on the copy's name, a page that shows it), then decide whether consolidation is appropriate.",Calcs - Attrition.Headcount,Calcs - Attrition.Headcount,REDUNDANT-EXACT,
F13,ud8fc5890e4,Potential capacity or performance improvements,"Text, FINDITEM and per-item functions in large multi-dimensional line items",Caldergate Data Hub,review candidate,low,confirmed,low,footprint,,,none detected,2 line items,All 2 line items,2 line items,Observed footprint only; improvement would be measured after the change.,Start with the largest by cells; compute it once in a SYS module dimensioned by the list it depends on.,DAT01 GL Transactions.Source System; DAT06 Sales Orders.Last Order Ref,DAT01 GL Transactions.Source System; DAT06 Sales Orders.Last Order Ref,A-TEXT-FORMAT; A-FINDITEM; A-TEXT-JOIN; A-SYSTEMS-FN,
F14,uc2228a1386,Maintainability and consistency,DIVIDE() where a zero divisor shows Infinity,Caldergate Data Hub,review candidate,low,confirmed,low,none,,,none detected,1 formulas,All 1 formulas,1 formula,not applicable,Confirm for each whether Infinity or NaN is acceptable on the pages that show it; no change is needed where it is.,CAL01 Volume Summary.Average Order Value,CAL01 Volume Summary.Average Order Value,F-DIVIDE-FN,
F15,uc5be315817,Potential capacity or performance improvements,SUM combined with LOOKUP or SELECT in one formula,Caldergate FP&A,review candidate,low,confirmed,low,footprint,,0.0,none detected,1 formulas,All 1 formulas,1 formula; together 0.0% of Caldergate FP&A's measured effort,Observed: the listed effort shares. Improvement would have to be measured after the change.,Take the formula with the largest effort share; split it in a sandbox copy; compare Calculation Effort before and after.,CAL06 Department Summary.Benchmark Opex,CAL06 Department Summary.Benchmark Opex,F-MIXED-CLAUSE,
F16,ubbfc6d3b51,Potential capacity or performance improvements,"Text, FINDITEM and per-item functions in large multi-dimensional line items",Caldergate FP&A,review candidate,low,confirmed,low,footprint,,,none detected,13 line items,Showing 3 of 13 line items,13 line items,Observed footprint only; improvement would be measured after the change.,Start with the largest by cells; compute it once in a SYS module dimensioned by the list it depends on.,DAT01 Actuals GL.Source Journal; DAT01 Actuals GL.Journal Cost Centre; CAL02 Revenue.Revenue Label,DAT01 Actuals GL.Source Journal; DAT01 Actuals GL.Journal Cost Centre; CAL02 Revenue.Revenue Label; CAL02 Revenue.Revenue Label; CAL03 Opex.Forecast Opex; CAL05 Opex OLD.Fees Forecast; CAL05 Opex OLD.Marketing Forecast; CAL05 Opex OLD.Other Forecast; CAL05 Opex OLD.Rates Forecast; CAL05 Opex OLD.Rent Forecast; CAL05 Opex OLD.Software Forecast; CAL05 Opex OLD.Travel Forecast; CAL05 Opex OLD.Utilities Forecast,A-TEXT-FORMAT; A-FINDITEM; A-TEXT-JOIN; A-SYSTEMS-FN,
F17,uc878d4c512,Maintainability and consistency,Numeric literals inside formulas,Caldergate FP&A,review candidate,low,confirmed,low,none,,,none detected,6 formulas,Showing 3 of 6 formulas,6 formulas,not quantified from the exports,"Read the formulas with the most repeated literal; where a literal is a business assumption, give it a named input with a note.",CAL02 Revenue.Revenue USD; CAL02 Revenue.VAT; CAL08 Cash Flow.Debtors,CAL02 Revenue.Revenue USD; CAL02 Revenue.VAT; CAL08 Cash Flow.Debtors; CAL08 Cash Flow.Tax; CAL10 Depreciation.Charge; INP03 Headcount.Pension,F-HARDCODE,
F18,ubd52fd11d5,Maintainability and consistency,Subsidiary views used in calculation,Caldergate FP&A,review candidate,low,confirmed,medium,none,,,none detected,1 line items,All 1 line items,1 line item; 1 readers,not quantified from the exports,"For each, decide whether a module dimensioned as the line item is would make its readers clearer.",CAL01 Volumes.Launched?,CAL01 Volumes.Launched?,A-SUBSIDIARY,
F19,ub262c54f5a,Maintainability and consistency,Module with more than 50 line items,Caldergate FP&A,review candidate,low,confirmed,medium,none,,,none detected,1 object,All 1 objects,1 module; 50 readers outside it; 1 export,not quantified from the exports,"Group the line items by what reads them; if the groups have different purposes, consider a split. Reducing the count is not the goal.",INP02 Opex Drivers,INP02 Opex Drivers,A-LI-COUNT,
F20,u9bb98ad1b0,Maintainability and consistency,Modules with no line items,Caldergate FP&A,review candidate,low,confirmed,low,none,,,none detected,1 modules,All 1 modules,1 module,not applicable,"Confirm nothing is planned for them, then decide whether to remove them.",CAL09 Scenario Planning,CAL09 Scenario Planning,G-EMPTY-MODULE,
F21,u5c1b2989bf,Maintainability and consistency,Very long formulas,Caldergate FP&A,review candidate,low,confirmed,medium,none,,,none detected,1 formulas,All 1 formulas,1 formula,not quantified from the exports,Add a note to each explaining what it does; split only where a named intermediate would help a reader.,CAL03 Opex.Forecast Opex,CAL03 Opex.Forecast Opex,F-LONG,
F22,u2d163ef2fa,Maintainability and consistency,Hard-coded time period or version selections,Caldergate FP&A,review candidate,low,confirmed,low,none,,,none detected,3 formulas,All 3 formulas,3 formulas,not quantified from the exports,"Where the period is a moving concept (current year, prior year), hold it in a time-formatted line item and use LOOKUP.",CAL07 P&L by Cost Centre.Opex Budget; OUT02 Board Pack.Budget Revenue; OUT02 Board Pack.Old Budget Revenue,CAL07 P&L by Cost Centre.Opex Budget; OUT02 Board Pack.Budget Revenue; OUT02 Board Pack.Old Budget Revenue,F-SELECT-TIME,
F23,ude5bbc76be,Maintainability and consistency,DIVIDE() where a zero divisor shows Infinity,Caldergate FP&A,review candidate,low,confirmed,low,none,,,none detected,8 formulas,Showing 3 of 8 formulas,8 formulas,not applicable,Confirm for each whether Infinity or NaN is acceptable on the pages that show it; no change is needed where it is.,CAL01 Volumes.Volume Growth; CAL02 Revenue.Average Price; CAL02 Revenue.Revenue Growth,CAL01 Volumes.Volume Growth; CAL02 Revenue.Average Price; CAL02 Revenue.Revenue Growth; CAL04 Margn.Margin %; CAL06 Department Summary.Cost per FTE; CAL07 P&L by Cost Centre.EBITDA Margin; OUT02 Board Pack.Revenue Variance %; SYS05 FX Rates.Rate Movement,F-DIVIDE-FN,
F24,u9c035e5f9f,Potential capacity or performance improvements,"Text, FINDITEM and per-item functions in large multi-dimensional line items",Workforce Planning,review candidate,low,confirmed,low,footprint,,,none detected,3 line items,All 3 line items,3 line items,Observed footprint only; improvement would be measured after the change.,Start with the largest by cells; compute it once in a SYS module dimensioned by the list it depends on.,Data - Employees.Employee Name; Data - Employees.Name and Role; Data - Employees.Name and Role,Data - Employees.Employee Name; Data - Employees.Name and Role; Data - Employees.Name and Role,A-TEXT-FORMAT; A-FINDITEM; A-TEXT-JOIN; A-SYSTEMS-FN,
F25,uef51d71cd0,Maintainability and consistency,Numeric literals inside formulas,Workforce Planning,review candidate,low,confirmed,low,none,,,none detected,3 formulas,All 3 formulas,3 formulas,not quantified from the exports,"Read the formulas with the most repeated literal; where a literal is a business assumption, give it a named input with a note.",Calcs - Attrition.Annualised Attrition; Calcs - Cost.Bonus; Calcs - Headcount by CC.Bonus %,Calcs - Attrition.Annualised Attrition; Calcs - Cost.Bonus; Calcs - Headcount by CC.Bonus %,F-HARDCODE,
F26,ub64681d531,Maintainability and consistency,Subsidiary views used in calculation,Workforce Planning,review candidate,low,confirmed,medium,none,,,none detected,1 line items,All 1 line items,1 line item; 1 readers,not quantified from the exports,"For each, decide whether a module dimensioned as the line item is would make its readers clearer.",Calcs - Attrition.Leavers,Calcs - Attrition.Leavers,A-SUBSIDIARY,
F27,udeea32f18e,Maintainability and consistency,Hard-coded time period or version selections,Workforce Planning,review candidate,low,confirmed,low,none,,,none detected,1 formulas,All 1 formulas,1 formula,not quantified from the exports,"Where the period is a moving concept (current year, prior year), hold it in a time-formatted line item and use LOOKUP.",Reports - Headcount.FTE Budget,Reports - Headcount.FTE Budget,F-SELECT-TIME,
F28,u1081efc553,Maintainability and consistency,DIVIDE() where a zero divisor shows Infinity,Workforce Planning,review candidate,low,confirmed,low,none,,,none detected,3 formulas,All 3 formulas,3 formulas,not applicable,Confirm for each whether Infinity or NaN is acceptable on the pages that show it; no change is needed where it is.,Calcs - Headcount by CC.Average Salary; Reports - Headcount.Cost per FTE; zz Archive - 2021 Cost.Cost per Head,Calcs - Headcount by CC.Average Salary; Reports - Headcount.Cost per FTE; zz Archive - 2021 Cost.Cost per Head,F-DIVIDE-FN,
F29,u12ad2551f6,Maintainability and consistency,DIVIDE() where a zero divisor shows Infinity,Board Reporting,review candidate,low,confirmed,low,none,,,none detected,3 formulas,All 3 formulas,3 formulas,not applicable,Confirm for each whether Infinity or NaN is acceptable on the pages that show it; no change is needed where it is.,CAL01 KPIs.EBITDA Margin; CAL01 KPIs.Opex Ratio; CAL01 KPIs.Revenue Growth,CAL01 KPIs.EBITDA Margin; CAL01 KPIs.Opex Ratio; CAL01 KPIs.Revenue Growth,F-DIVIDE-FN,
F30,u928b05f668,Usage and retirement investigations,1 module with no consumer detected in the inspected dependency types,Workforce Planning,review candidate,low,partial,medium,conditional,13392,,none detected,"1 module, 3 line items",All 1 modules,"1 module, 3 line items",If no consumer is found: 13.4K cells as exported would no longer be held or measured. Per module in the table.,"Complete the consumer and retention checks (pages, saved views, line item subsets, integrations, access drivers, retained data) for the largest module first, then the rest of the five largest, and record a keep-or-retire recommendation for each.",zz Archive - 2021 Cost,zz Archive - 2021 Cost,G-UNUSED; REDUNDANT-EXACT,
F31,uc4d135a29e,Usage and retirement investigations,2 modules with no consumer detected in the inspected dependency types,Caldergate Data Hub,review candidate,low,partial,medium,conditional,360,0.01,none detected,"2 modules, 10 line items",All 2 modules,"2 modules, 10 line items",If no consumer is found: 360 cells as exported; 0.0% of Caldergate Data Hub's measured calculation effort would no longer be held or measured. Per module in the table.,"Complete the consumer and retention checks (pages, saved views, line item subsets, integrations, access drivers, retained data) for the largest module first, then the rest of the five largest, and record a keep-or-retire recommendation for each.",SYS01 Time Settings; SYS02 Data Checks,SYS01 Time Settings; SYS02 Data Checks,G-UNUSED; REDUNDANT-EXACT,
F32,ued658479c0,Maintainability and consistency,Summary methods on large line items no formula reads,Caldergate Data Hub,review candidate,low,partial,low,none,,,none detected,1 line items,All 1 line items,1 line item,not quantified from the exports,"Check the largest ones on their pages; where no total is shown, set the summary to None.",DAT05 CRM Pipeline.Weighted Pipeline,DAT05 CRM Pipeline.Weighted Pipeline,A-SUMMARY-ON,
F33,u4c4bbeae98,Integration and operational review,Imports and exports with no recent recorded run or outside every process,Caldergate Data Hub,review candidate,low,partial,low,none,,,none detected,3 actions,All 3 actions,3 actions,not quantified from the exports,"For each action with no recorded run in the window, ask the owner how and how often it runs; document the answer in the action's notes.",Export Pipeline for Sales Ops; Import Customers from Salesforce; Import Products from PIM file,Export Pipeline for Sales Ops; Import Customers from Salesforce; Import Products from PIM file,ACTIONS,
F34,uc8ed36f6b1,Maintainability and consistency,Summary methods on large line items no formula reads,Caldergate FP&A,review candidate,low,partial,low,none,,,none detected,30 line items,Showing 3 of 30 line items,30 line items,not quantified from the exports,"Check the largest ones on their pages; where no total is shown, set the summary to None.",CAL01 Volumes.Volume Growth; CAL02 Revenue.Average Price; CAL02 Revenue.Revenue Growth,CAL01 Volumes.Volume Growth; CAL02 Revenue.Average Price; CAL02 Revenue.Revenue Growth; CAL02 Revenue.Revenue USD; CAL02 Revenue.Revenue per Unit; CAL02 Revenue.VAT; CAL03 Opex.Opex Variance; CAL04 Margn.Margin %; CAL04 Margn.Margin GBP; CAL05 Opex OLD.Opex Cumulative; CAL05 Opex OLD.Opex Run Rate; CAL07 P&L by Cost Centre.EBIT; CAL07 P&L by Cost Centre.EBITDA Margin; CAL07 P&L by Cost Centre.Opex Variance to Budget; CAL10 Depreciation.NBV; DAT02 Actuals Volumes.Revenue Actual; INP02 Opex Drivers.Check; INP02 Opex Drivers.Driver Count; OUT01 Management Pack.Capex; OUT01 Management Pack.Depreciation; OUT01 Management Pack.EBITDA YTD; OUT01 Management Pack.Headcount; OUT01 Management Pack.Opex; OUT01 Management Pack.Phased Drivers; OUT01 Management Pack.Revenue YTD; OUT01 Management Pack.Staff Cost; OUT01 Management Pack.Total Cost; OUT02 Board Pack.EBITDA; OUT02 Board Pack.Old Budget Revenue; OUT02 Board Pack.Revenue Variance %,A-SUMMARY-ON,
F35,u11b82e7872,Integration and operational review,Imports and exports with no recent recorded run or outside every process,Caldergate FP&A,review candidate,low,partial,low,none,,,none detected,5 actions,Showing 3 of 5 actions,5 actions,not quantified from the exports,"For each action with no recorded run in the window, ask the owner how and how often it runs; document the answer in the action's notes.",Export Assumptions for Workforce; Export Opex Drivers to Excel; Import Budget from Excel,Export Assumptions for Workforce; Export Opex Drivers to Excel; Import Budget from Excel; Import FX from Treasury file; Import from Caldergate Hub v1 - Cost Centres,ACTIONS,
F36,u86061f87cd,Maintainability and consistency,Summary methods on large line items no formula reads,Workforce Planning,review candidate,low,partial,low,none,,,none detected,1 line items,All 1 line items,1 line item,not quantified from the exports,"Check the largest ones on their pages; where no total is shown, set the summary to None.",Calcs - Headcount by CC.Average Salary,Calcs - Headcount by CC.Average Salary,A-SUMMARY-ON,
F37,u876e3b2be3,Integration and operational review,Imports and exports with no recent recorded run or outside every process,Workforce Planning,review candidate,low,partial,low,none,,,none detected,3 actions,All 3 actions,3 actions,not quantified from the exports,"For each action with no recorded run in the window, ask the owner how and how often it runs; document the answer in the action's notes.",Export Headcount by Department; Export Leavers Report; Import from Caldergate FP&A - Assumptions,Export Headcount by Department; Export Leavers Report; Import from Caldergate FP&A - Assumptions,ACTIONS,
F38,u1ce82d8848,Maintainability and consistency,Summary methods on large line items no formula reads,Board Reporting,review candidate,low,partial,low,none,,,none detected,5 line items,Showing 3 of 5 line items,5 line items,not quantified from the exports,"Check the largest ones on their pages; where no total is shown, set the summary to None.",DAT01 P&L.COGS; DAT01 P&L.Depreciation; DAT01 P&L.EBIT,DAT01 P&L.COGS; DAT01 P&L.Depreciation; DAT01 P&L.EBIT; DAT01 P&L.EBITDA; DAT01 P&L.Staff Cost,A-SUMMARY-ON,
F39,u547c22180b,Integration and operational review,Imports and exports with no recent recorded run or outside every process,Board Reporting,review candidate,low,partial,low,none,,,none detected,1 actions,All 1 actions,1 action,not quantified from the exports,"For each action with no recorded run in the window, ask the owner how and how often it runs; document the answer in the action's notes.",Export Board Pack PDF Data,Export Board Pack PDF Data,ACTIONS,
F40,ua61db16ff4,Maintainability and consistency,Same line item name and formula in more than one model,Estate,review candidate,low,inferred,medium,none,,,none detected,8 line item names,Showing 3 of 8 line item names,8 line items across 3 models,not quantified from the exports,Pick the copies that are genuinely one rule and record where it is owned; leave local filters and formatting where they are.,COGS?; Current Period?; Employer NI,COGS?; Current Period?; Employer NI; Group; Opex?; Revenue?; Sign; Working Days,DUP-CROSS,
